"time","temp","ocheat","ocheat.mixed","ocheat.interior","ocheatflux.mixed","ocheatflux.interior"
1750,0,0,0,0,0,0
1751,0.00165300668905836,0.038812139618197,0.0139422749784903,0.0248698646397067,0.0121998521945639,0.0229071332122378
1752,0.000575788578006264,0.0344423280180468,0.00867200255400213,0.0257703254640447,-0.00461162505423513,0.000829396394163729
1753,-0.00216288836693792,0.00259166751747858,-0.00421022900844754,0.00680189652592612,-0.0112722867136457,-0.017471439222014
1754,-0.00644434646395407,-0.0624756890829123,-0.025485315917241,-0.0369903731656712,-0.018616252807681,-0.0403361807562897
1755,-0.0108845600334623,-0.154186546912048,-0.0513638179131099,-0.102822728998938,-0.0226443603969509,-0.0606368617841372
1756,-0.0146539890397592,-0.256100532553298,-0.0756699265228472,-0.180430606030451,-0.0212684754045727,-0.0714830580397082
1757,-0.01640134230773,-0.347378006689777,-0.0921684447581849,-0.255209561931592,-0.0144366313396461,-0.0688773955594678
1758,-0.0165099409667568,-0.413613824278596,-0.0981788155249345,-0.315435008753662,-0.00525923029792456,-0.0554724504176456
1759,-0.0157068083506411,-0.456809552628792,-0.0970389581222267,-0.359770594506566,0.000997404789201775,-0.0408366182766787
1760,-0.0162127861105292,-0.497450665854803,-0.0973551454938666,-0.400095520360936,-0.000276672150401974,-0.0371424799331184
1761,-0.0154095885385005,-0.53309437642478,-0.0971256697626335,-0.435968706662147,0.000200797216207712,-0.0330420719716048
1762,-0.0160205726130234,-0.566324087651081,-0.0971212601992679,-0.469202827451813,3.85848230549241e-06,-0.0306112816916991
1763,-0.0177619354919848,-0.618836185054706,-0.104843254626192,-0.513992930428515,-0.00675694539098211,-0.0412552649699206
1764,-0.0195055157016827,-0.683048837102845,-0.115375349404326,-0.567673487698518,-0.00921585607733386,-0.0494440839990692
1765,-0.0224920284459964,-0.762880380830883,-0.129751560631253,-0.63312882019963,-0.0125795576659418,-0.0602895931592802
1766,-0.0246476703212186,-0.852701465885126,-0.145270344881642,-0.707431121003484,-0.0135793386937325,-0.0684383581152345
1767,-0.02235008011409,-0.903797968176776,-0.144552144827613,-0.759245823349163,0.00062844367356092,-0.0477254824736724
1768,-0.0165268861152446,-0.883860333602939,-0.12061362233122,-0.763246711271719,0.0209468280221704,-0.00368513757259875
1769,-0.00915430748684046,-0.802850725219434,-0.0823943250609945,-0.720456400158439,0.0334428763165401,0.0394132968178701
1770,-0.00302499052961584,-0.692834220884262,-0.0433941688687121,-0.649440052015549,0.0341261481246635,0.0654117330642224
1771,0.000347915315490735,-0.592374989021825,-0.0158281047070774,-0.576546884314748,0.0241210210583742,0.06714043389357
1772,0.00185611945473793,-0.516758205426052,-0.00102581755829598,-0.515732387867756,0.0129523851477056,0.0560150122056645
1773,0.000167461498319182,-0.480763175187929,-0.000855632705955457,-0.479907542481974,0.000148916159486968,0.0329975461245463
1774,-0.00146867457124132,-0.477507829955217,-0.00955741820639977,-0.467950411748817,-0.0076142879908767,0.011013473153499
1775,-0.00465633899276621,-0.498456432985032,-0.0228226321389006,-0.475633800846131,-0.0116074062199642,-0.00707701550142817
1776,-0.00575381964255411,-0.527167693707401,-0.0346280700264551,-0.492539623680946,-0.0103300643218173,-0.0155716141342118
1777,-0.00393257420118241,-0.5226729479375,-0.0315316258606199,-0.49114132207688,0.00270946895038208,0.00128794754532229
1778,0.00363525256522002,-0.443453359704111,-0.00302002371458191,-0.440433335989529,0.0249483913169483,0.0467061083385521
1779,0.00913064851079752,-0.316384537829349,0.0351070895783694,-0.351491627407718,0.033362212945664,0.081922422824719
1780,0.00973486067810904,-0.225558633171484,0.0518969955560095,-0.277455628727494,0.0146916031712074,0.0681930725735132
1781,0.0119980380443662,-0.152223089169302,0.0612755884396406,-0.213498677608943,0.00820651200394537,0.0589094641384627
1782,0.0100588612571316,-0.101073917352476,0.0631012850437092,-0.164175202396185,0.00159753187741,0.0454308631573834
1783,0.00750045860202769,-0.0957879080607503,0.0503430105425171,-0.146130918603267,-0.0111638210702591,0.0166202276752183
1784,0.00432594599552639,-0.113125365589878,0.0345297635514216,-0.1476551291413,-0.0138370012286464,-0.00140391973756291
1785,0.00398642824193469,-0.125377701558935,0.0251717101108095,-0.150549411669745,-0.00818853945861992,-0.00266586555228336
1786,0.0105380287350233,-0.0622158733194095,0.0449492819427418,-0.107165155262151,0.0173058882778591,0.0399603679087152
1787,0.0194946896739355,0.0904942228573944,0.0910658803378504,-0.000571657480456077,0.0403532196147595,0.0981811316071751
1788,0.0257991181536834,0.268777133796342,0.135178590940205,0.133598542856138,0.0385997658259186,0.12358147890021
1789,0.0301975285025566,0.434908259651535,0.166677147503988,0.268231112147547,0.0275620538981709,0.124007357665318
1790,0.0321392932341845,0.578411879092935,0.186335071897739,0.392076807195196,0.0172011936664326,0.114071784278603
1791,0.0308628412344708,0.677207333452489,0.189376139720053,0.487831193732436,0.00266101321363398,0.0881974437674518
1792,0.0296447667996967,0.742488646981185,0.183670289651774,0.558818357329411,-0.0049927667891175,0.0653848517646787
1793,0.0265843093867436,0.780189100062598,0.172446241119912,0.607742858942686,-0.00982133355744189,0.0450633765818055
1794,0.0237877210024877,0.790703524959465,0.156162924727196,0.634540600232268,-0.0142483241461617,0.0246828617043406
1795,0.0192700582158558,0.774130168172485,0.135214113688385,0.6389160544841,-0.0183307529595878,0.00403014310141224
1796,0.0147353408974822,0.72727078705022,0.108780643202876,0.618490143847344,-0.0231299722183137,-0.0188138963647759
1797,0.00949310339112832,0.657384637056582,0.0800661558956541,0.577318481160928,-0.0251259210947452,-0.0379223922361562
