"time","temp","ocheat","ocheat.mixed","ocheat.interior","ocheatflux.mixed","ocheatflux.interior","gmsl"
1850,-0.0720438148556291,0,0,0,0,0,-15.5306686550103
1851,-0.0473532793486613,0.325435333655105,0.116904374615022,0.208530959040084,0.102294359665227,0.192073681413622,-14.083085442213
1852,-0.0334024065342045,0.643187385196657,0.200020217665418,0.443167167531239,0.0727285182515606,0.216118702782963,-12.5515544086919
1853,-0.0254870072977884,0.926889936870424,0.25606371150865,0.670826225361774,0.0490395105826849,0.209692189332243,-10.9725904076017
1854,-0.0219426688918667,1.1630153297135,0.289011329444669,0.874004000268827,0.028830020179814,0.187142970940466,-9.36671404910769
1855,-0.0199420783688565,1.35890683102286,0.307267227884292,1.05163960313857,0.0159743845954818,0.163616588876675,-7.74878694003353
1856,-0.0177887589439958,1.53926020431546,0.322316614633615,1.21694358968184,0.0131686037066277,0.152258184558633,-6.12405782318114
1857,-0.0133928227029979,1.73433965990332,0.3444786994576,1.38986096044572,0.0193923989874772,0.159270719973035,-4.49200742028422
1858,-0.00608495368701438,1.97373844909182,0.38161009734249,1.59212835174933,0.0324909361400536,0.186304434873607,-2.84501083416791
1859,0.00445363439988796,2.27660469810262,0.436557517900648,1.84004718020197,0.0480804180319404,0.228353057463751,-1.17316749339726
1860,0.0139744826564172,2.62051691456024,0.497377308080639,2.1231396064796,0.0532188937490465,0.260750752529779,0.534507046868868
1861,0.0200277583184924,2.95160435788082,0.544674287097702,2.40693007078312,0.0413860832717589,0.261393701346669,2.27455247120719
1862,0.0228125252911899,3.24101156171482,0.572867481201189,2.66814408051363,0.0246697760219065,0.240598982120962,4.03517903279657
1863,0.0247370354619038,3.49665767183537,0.589779300810012,2.90687837102536,0.0147982807602831,0.219893363888682,5.80527380209312
1864,0.026308662467634,3.73503127409376,0.603243017866423,3.13178825622734,0.0117811016014999,0.207159981596571,7.5819119059701
1865,0.0264764402997881,3.95026189202114,0.610885800728223,3.33937609129292,0.00668763321717281,0.191204988848037,9.36389354166656
1866,0.026616544796289,4.14428644138172,0.614113326682439,3.53017311469928,0.00282416891477913,0.175739309199533,11.1464456219923
1867,0.026446214562221,4.3252801685568,0.616178146861831,3.70910202169497,0.00180677120740997,0.164807825352073,12.9294740576062
1868,0.0294197262743175,4.52137935542404,0.626705315620452,3.89467403980358,0.00921154568250547,0.170926661679168,14.7119233704243
1869,0.036164766102874,4.77371642689431,0.657655533619289,4.11606089327502,0.0270822434328588,0.203914987772454,16.5044826230635
1870,0.0461247501657084,5.09602595231737,0.708675739561198,4.38735021275617,0.0446440033916836,0.249879147733284,18.3199750111197
1871,0.0528889904347731,5.44128482339413,0.758790757022071,4.68249406637206,0.0438519399950063,0.27185108039382,20.1693313449897
1872,0.0571856705993418,5.76047773444092,0.792474873101234,4.96800286133968,0.0294744751559059,0.262976421236607,22.0416860957744
1873,0.0572467805678534,6.03187605886651,0.80723028379087,5.22464577507564,0.0129113670302278,0.236388637336621,23.9286495591187
1874,0.0557451202050571,6.24899181567124,0.805359361769971,5.44363245390127,-0.00163710529004308,0.201704235074737,25.8158207963559
1875,0.0519475398610232,6.41778856870623,0.792171586498551,5.62561698220768,-0.011539645383172,0.167622296818831,27.6978863883596
1876,0.049148864970311,6.55484892719605,0.77500184119956,5.77984708599649,-0.0150239724283993,0.142058253392622,29.5670402071935
1877,0.047522800854017,6.68988364335656,0.763995931970289,5.92588771138627,-0.00963045601030282,0.134515089191961,31.4266785313991
1878,0.0455213221801192,6.81724990614694,0.754310745097597,6.06293916104934,-0.00847478969578951,0.126235339831724,33.2807882376093
1879,0.044241996820898,6.93745516444914,0.745394668926331,6.19206049552281,-0.00780179788540437,0.118931069878168,35.1280929163282
1880,0.0450593681620062,7.07342987460953,0.745009306363607,6.32842056824592,-0.000337202236636447,0.12559852640741,36.9710478888257
1881,0.04883874130965,7.24971232921083,0.759500527688412,6.49021180152242,0.0126801944843344,0.149022658021217,38.8167819238831
1882,0.0505387318979036,7.43965793291222,0.775682063819533,6.66397586909268,0.0141592637776288,0.160050595409244,40.6753658276424
1883,0.0500141219459055,7.60107509300738,0.77896960953322,6.82210548347417,0.00287668776090851,0.145650014341176,42.5397296994017
1884,0.0514526012828678,7.76026553950292,0.782838486427229,6.97742705307569,0.00338536762032687,0.143063580648338,44.4023098973243
1885,0.0528786134603351,7.93323448415207,0.792438410234871,7.14079607391719,0.00840018230260126,0.150475926483104,46.2697809249926
1886,0.0529589775756798,8.09543303094823,0.797282316575646,7.29815071437259,0.00423854367331966,0.144936201410622,48.1421003940642
1887,0.0529368926465339,8.24483175052779,0.79817280144883,7.44665894907896,0.000779197358472397,0.136787954611616,50.014693101128
1888,0.0526499152272489,8.38743623615097,0.798148446981884,7.58928778916908,-2.13107902028775e-05,0.131372562222757,51.8872107194327
1889,0.0542204425520259,8.53949304443227,0.802965391281749,7.73652765315052,0.00421495118827168,0.135619683791507,53.7587526145119
1890,0.055780518459632,8.70618136407357,0.81296666764779,7.89321469642578,0.00875137620014836,0.144321291045854,55.6356343024953
1891,0.0604025338755444,8.90191713078983,0.832107476423989,8.06980965436584,0.0167487040898493,0.162658071716396,57.5178202485645
1892,0.0674993050014189,9.15319788222787,0.867850513177806,8.28534736905006,0.0312760841436691,0.198527463420521,59.4157210470479
1893,0.0739522243495538,9.43716789324434,0.908326918386492,8.52884097485784,0.0354179043000565,0.224277073694311,61.3377508673592
1894,0.0797782198804287,9.7303519170775,0.945275545505732,8.78507637157177,0.0323310069800092,0.236013281585985,63.2817206134542
